component_path,state,horizon_sessions,count,accuracy,accuracy_risk_difference_vs_all_bearish,mean_directional_return,mean_return_difference_vs_all_bearish,odds_ratio_correct_vs_all_other_bearish
institutional_volume.score,MISSING,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
institutional_volume.score,MISSING,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
institutional_volume.score,MISSING,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
scores.trend,MISSING,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
scores.trend,MISSING,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
scores.trend,MISSING,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
scores.momentum,MISSING,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
scores.momentum,MISSING,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
scores.momentum,MISSING,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
scores.structure,MISSING,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
scores.structure,MISSING,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
scores.structure,MISSING,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
scores.participation,MISSING,5,145590,0.46133663026306754,0.0,-0.024575456973661015,0.0,
scores.participation,MISSING,10,145492,0.44137134687817886,0.0,-0.027870024421211854,0.0,
scores.participation,MISSING,20,145265,0.42716414828072835,0.0,-0.04765574900967158,0.0,
scores.confidence,60-80,5,2523,0.4157748711850971,-0.04556175907797044,-0.006667404968234405,0.01790805200542661,0.8283858810860876
scores.confidence,80-100,5,143067,0.46214011616934725,0.0008034859062797106,-0.02489126715497256,-0.00031581018131154534,1.207166880595443
scores.confidence,60-80,10,2523,0.40665873959571935,-0.03471260728245951,-0.013479613020266673,0.01439041140094518,0.8654293924990495
scores.confidence,80-100,10,142969,0.4419839265854836,0.0006125797073047168,-0.028123974633947446,-0.00025395021273559235,1.1554957673812751
scores.confidence,60-80,20,2523,0.3476020610384463,-0.07956208724228203,-0.031414764481526414,0.016240984528145166,0.7105996906546789
scores.confidence,80-100,20,142742,0.42857042776477844,0.001406279484050088,-0.0479428124105243,-0.00028706340085272314,1.4072620818040256
timeframe_states.1d.direction,BEARISH,5,51458,0.4593649189630378,-0.0019717113000297104,-0.0031671326762249285,0.021408324297436086,0.987803180501008
timeframe_states.1d.direction,NEUTRAL,5,2706,0.4490022172949002,-0.012334412968167341,-0.0047529146222197545,0.01982254235144126,0.9506540845346209
timeframe_states.1d.direction,STRONG_BEARISH,5,81489,0.46319135097988684,0.0018547207168193025,-0.041209015974282864,-0.01663355900062185,1.0170967470849115
timeframe_states.1d.direction,WEAK_BEARISH,5,5492,0.45957756737072103,-0.001759062892346508,-0.004217142671612501,0.020358314302048514,0.9926972860000418
timeframe_states.1d.direction,WEAK_BULLISH,5,4445,0.45984251968503936,-0.0014941105780281738,-0.004693595116665414,0.0198818618569956,0.9938510924817637
timeframe_states.1d.direction,BEARISH,10,51415,0.44593990080715745,0.0045685539289785915,-0.005627841694235241,0.022242182726976614,1.0290577524880404
timeframe_states.1d.direction,NEUTRAL,10,2705,0.4609981515711645,0.019626804692985667,-0.00822882783740654,0.019641196583805316,1.0841950944994856
