symbol,asset_type,cadence,status,replay_start,replay_end,observation_count,replayed_profile_count,native_not_eligible_count,source_data_sha256,result_sha256,resumed,blockers
EXPD,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EXPD 2004-11-19: native profile missing direction/score/confidence
EXPE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EXPE 2013-03-08: native profile missing direction/score/confidence
EXR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,EXR 2005-10-21: native profile missing direction/score/confidence
F,,WEEKLY,REPLAY_FAILED,,,,,,,,False,F 2004-11-19: native profile missing direction/score/confidence
FANG,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FANG 2013-12-27: native profile missing direction/score/confidence
FAST,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FAST 2004-11-19: native profile missing direction/score/confidence
FBTC,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FBTC 2025-03-28: native profile missing direction/score/confidence
FCX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FCX 2004-11-19: native profile missing direction/score/confidence
FDS,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FDS 2004-11-19: native profile missing direction/score/confidence
FDX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FDX 2004-11-19: native profile missing direction/score/confidence
FE,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FE 2004-11-19: native profile missing direction/score/confidence
FER,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FER 2025-07-25: native profile missing direction/score/confidence
FFIV,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FFIV 2004-11-19: native profile missing direction/score/confidence
FICO,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FICO 2010-10-29: native profile missing direction/score/confidence
FIS,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FIS 2007-04-13: native profile missing direction/score/confidence
FISV,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FISV 2004-11-19: native profile missing direction/score/confidence
FITB,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FITB 2004-11-19: native profile missing direction/score/confidence
FIX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FIX 2004-11-19: native profile missing direction/score/confidence
FLEX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FLEX 2004-11-19: native profile missing direction/score/confidence
FOX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FOX 2020-05-29: native profile missing direction/score/confidence
FOXA,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FOXA 2020-05-08: native profile missing direction/score/confidence
FRT,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FRT 2004-11-19: native profile missing direction/score/confidence
FSLR,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FSLR 2008-02-01: native profile missing direction/score/confidence
FTNT,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FTNT 2011-01-28: native profile missing direction/score/confidence
FTV,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FTV 2017-09-15: native profile missing direction/score/confidence
FXI,,WEEKLY,REPLAY_FAILED,,,,,,,,False,FXI 2005-12-16: native profile missing direction/score/confidence
GD,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GD 2004-11-19: native profile missing direction/score/confidence
GDDY,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GDDY 2016-06-10: native profile missing direction/score/confidence
GDX,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GDX 2007-08-03: native profile missing direction/score/confidence
GDXJ,,WEEKLY,REPLAY_FAILED,,,,,,,,False,GDXJ 2011-01-21: native profile missing direction/score/confidence
