symbol,entry_date,exit_date,strategy,signal,strike,expiry,entry_price,exit_price,contracts,pnl,pnl_pct,max_profit,max_drawdown,days_held,exit_reason,rank_score,option_score,pop,liquidity,atm_score
AAPL,2026-05-10,2026-05-21,LONG_CALL,CALL,292.68,STOCK_PROXY,292.68,308.82,1,1612.5999999999985,0.05509771764384305,1613.9999999999986,0.0,11,TAKE_PROFIT,80.0,80.0,0.0,0.0,100.0
AMZN,2026-05-10,2026-05-18,LONG_CALL,CALL,268.99,STOCK_PROXY,268.99,259.34,1,-966.4000000000034,-0.03592698613331363,113.99999999999864,-965.0000000000034,8,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-11,2026-05-26,LONG_CALL,CALL,294.8,STOCK_PROXY,294.8,310.85,1,1603.600000000001,0.0543962008141113,1605.0000000000011,0.0,15,TAKE_PROFIT,65.0,65.0,0.0,0.0,100.0
AMZN,2026-05-11,2026-05-26,LONG_CALL,CALL,265.82,STOCK_PROXY,265.82,271.85,1,601.600000000003,0.022631856143254945,603.000000000003,-648.0000000000018,15,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-12,2026-05-27,LONG_CALL,CALL,298.87,STOCK_PROXY,298.87,312.51,1,1362.5999999999985,0.045591728845317314,1363.9999999999986,-103.00000000000296,15,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AMZN,2026-05-12,2026-05-18,LONG_CALL,CALL,270.13,STOCK_PROXY,270.13,259.34,1,-1080.4000000000021,-0.0399955576944435,0.0,-1079.000000000002,6,STOP_LOSS,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-13,2026-05-28,LONG_CALL,CALL,298.21,STOCK_PROXY,298.21,312.06,1,1383.6000000000022,0.046396834445525045,1430.0000000000011,-37.000000000000455,15,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-14,2026-05-31,LONG_CALL,CALL,300.23,STOCK_PROXY,300.23,306.31,1,606.5999999999984,0.020204509875761865,1227.9999999999973,-239.00000000000432,17,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AMZN,2026-05-14,2026-05-31,LONG_CALL,CALL,264.14,STOCK_PROXY,264.14,261.26,1,-289.3999999999995,-0.010956311047171936,986.0000000000014,-480.00000000000114,17,TIME_STOP,70.0,70.0,0.0,0.0,100.0
AAPL,2026-05-17,2026-05-31,LONG_CALL,CALL,297.84,STOCK_PROXY,297.84,306.31,1,845.6000000000028,0.02839108246038151,1467.0000000000016,0.0,14,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AMZN,2026-05-17,2026-05-31,LONG_CALL,CALL,264.86,STOCK_PROXY,264.86,261.26,1,-361.40000000000225,-0.013644944498980679,913.9999999999986,-552.0000000000039,14,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-18,2026-05-31,LONG_CALL,CALL,298.97,STOCK_PROXY,298.97,306.31,1,732.5999999999975,0.024504130849249003,1353.9999999999964,0.0,13,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-19,2026-05-31,LONG_CALL,CALL,302.25,STOCK_PROXY,302.25,306.31,1,404.60000000000025,0.013386269644334169,1025.999999999999,0.0,12,TIME_STOP,80.0,80.0,0.0,0.0,100.0
AAPL,2026-05-20,2026-05-31,LONG_CALL,CALL,304.99,STOCK_PROXY,304.99,306.31,1,130.5999999999993,0.004282107610085554,751.9999999999982,0.0,11,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-21,2026-05-31,LONG_CALL,CALL,308.82,STOCK_PROXY,308.82,306.31,1,-252.3999999999991,-0.00817304578718992,368.9999999999998,-250.9999999999991,10,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-25,2026-05-31,LONG_CALL,CALL,308.33,STOCK_PROXY,308.33,306.31,1,-203.3999999999982,-0.006596828073816955,418.0000000000007,-201.99999999999818,6,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-26,2026-05-31,LONG_CALL,CALL,310.85,STOCK_PROXY,310.85,306.31,1,-455.400000000002,-0.014650152806820072,165.99999999999682,-454.00000000000205,5,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-27,2026-05-31,LONG_CALL,CALL,312.51,STOCK_PROXY,312.51,306.31,1,-621.3999999999988,-0.019884163706761347,0.0,-619.9999999999989,4,TIME_STOP,65.0,65.0,0.0,0.0,100.0
AAPL,2026-05-28,2026-05-31,LONG_CALL,CALL,312.06,STOCK_PROXY,312.06,306.31,1,-576.4,-0.01847080689610972,0.0,-575.0,3,TIME_STOP,65.0,65.0,0.0,0.0,100.0
