symbol,evaluated_rows,invalid_price_rows,invalid_ohlc_rows,negative_volume_rows,zero_volume_rows,non_finite_rows,extreme_return_rows,maximum_absolute_return,quality_score,status,warnings,rejection_reasons
KBE,252,0,0,0,0,0,0,0.05424892,100.0,READY,,
KDP,252,0,0,0,0,0,0,0.11496867,100.0,READY,,
KEY,252,0,0,0,0,0,0,0.05390536,100.0,READY,,
KEYS,252,0,0,0,0,0,0,0.23053066,100.0,READY,,
KHC,252,0,0,0,0,0,0,0.06971752,100.0,READY,,
KIM,252,0,0,0,0,0,0,0.03919145,100.0,READY,,
KKR,252,0,0,0,0,0,0,0.09688704,100.0,READY,,
KLAC,252,0,0,0,0,0,0,0.15241192,100.0,READY,,
KMB,252,0,0,0,0,0,0,0.14568543,100.0,READY,,
KMI,252,0,0,0,0,0,0,0.04753264,100.0,READY,,
KO,252,0,0,0,0,0,0,0.0406195,100.0,READY,,
KR,252,0,0,0,0,0,0,0.08427692,100.0,READY,,
KRE,252,0,0,0,0,0,0,0.06195547,100.0,READY,,
KVUE,252,0,0,0,0,0,0,0.13222636,100.0,READY,,
KWEB,252,0,0,0,0,0,0,0.07063382,100.0,READY,,
L,252,0,0,0,0,0,0,0.05863917,100.0,READY,,
LDOS,252,0,0,0,0,0,0,0.11154479,100.0,READY,,
LEN,252,0,0,0,0,0,0,0.08854401,100.0,READY,,
LH,252,0,0,0,0,0,0,0.06858013,100.0,READY,,
LHX,252,0,0,0,0,0,0,0.05859439,100.0,READY,,
LII,252,0,1,0,0,0,0,0.10185975,95.0,REVIEW,1 rows violate OHLC relationships.,
LIN,252,0,0,0,0,0,0,0.0320853,100.0,READY,,
LITE,252,0,0,0,0,0,0,0.23566574,100.0,READY,,
LLY,252,0,0,0,0,0,0,0.14136422,100.0,READY,,
LMT,252,0,0,0,0,0,0,0.10811458,100.0,READY,,
LNT,252,0,0,0,0,0,0,0.03659563,100.0,READY,,
LOW,252,0,0,0,0,0,0,0.05588861,100.0,READY,,
LQD,252,0,0,0,0,0,0,0.01227222,100.0,READY,,
LRCX,252,0,0,0,0,0,0,0.12653823,100.0,READY,,
LULU,252,0,0,0,0,0,0,0.18579259,100.0,READY,,
LUV,252,0,0,0,0,0,0,0.18697991,100.0,READY,,
LVS,252,0,0,0,0,0,0,0.13956904,100.0,READY,,
LYB,252,0,0,0,0,0,0,0.11980348,100.0,READY,,
LYV,252,0,0,0,0,0,0,0.10587069,100.0,READY,,
MA,252,0,0,0,0,0,0,0.05771162,100.0,READY,,
MAA,252,0,0,0,0,0,0,0.04274481,100.0,READY,,
MAR,252,0,0,0,0,0,0,0.08496125,100.0,READY,,
MAS,252,0,0,0,0,0,0,0.10784896,100.0,READY,,
MCD,252,0,0,0,0,0,0,0.04156929,100.0,READY,,
MCHP,252,0,0,0,0,0,0,0.12167169,100.0,READY,,
MCK,252,0,0,0,0,0,0,0.1652068,100.0,READY,,
MCO,252,0,0,0,0,0,0,0.08896625,100.0,READY,,
MDLZ,252,0,0,0,0,0,0,0.06613112,100.0,READY,,
MDT,252,0,0,0,0,0,0,0.05694911,100.0,READY,,
MELI,252,0,0,0,0,0,0,0.12699931,100.0,READY,,
MET,252,0,0,0,0,0,0,0.05096132,100.0,READY,,
META,252,0,0,0,0,0,0,0.11334763,100.0,READY,,
MGM,252,0,0,0,0,0,0,0.1607511,100.0,READY,,
MKC,252,0,0,0,0,0,0,0.0805288,100.0,READY,,
MLM,252,0,1,0,0,0,0,0.06561122,95.0,REVIEW,1 rows violate OHLC relationships.,
MMM,252,0,0,0,0,0,0,0.07662489,100.0,READY,,
MNST,252,0,0,0,0,0,0,0.13584309,100.0,READY,,
MO,252,0,0,0,0,0,0,0.07810231,100.0,READY,,
MOS,252,0,0,0,0,0,0,0.1331278,100.0,READY,,
MPC,252,0,1,0,0,0,0,0.06134121,95.0,REVIEW,1 rows violate OHLC relationships.,
MPWR,252,0,0,0,0,0,0,0.10457793,100.0,READY,,
MRK,252,0,0,0,0,0,0,0.07387105,100.0,READY,,
MRNA,252,0,0,0,0,0,0,0.17021272,100.0,READY,,
MRSH,252,0,0,0,0,0,0,0.08520976,100.0,READY,,
MRVL,252,0,0,0,0,0,0,0.3252063,100.0,READY,,
MS,252,0,0,0,0,0,0,0.0618627,100.0,READY,,
MSCI,252,0,0,0,0,0,0,0.08908766,100.0,READY,,
MSFT,252,0,0,0,0,0,0,0.09993149,100.0,READY,,
MSI,252,0,0,0,0,0,0,0.11359654,100.0,READY,,
MSTR,252,0,0,0,0,0,0,0.26114586,100.0,READY,,
MTB,252,0,0,0,0,0,0,0.04472737,100.0,READY,,
MTD,252,0,0,0,0,0,0,0.14767797,100.0,READY,,
MTUM,252,0,0,0,0,0,0,0.05953292,100.0,READY,,
MU,252,0,0,0,0,0,0,0.19291612,100.0,READY,,
NBIS,252,0,0,0,0,0,0,0.49422424,100.0,READY,,
NCLH,252,0,0,0,0,0,0,0.15284037,100.0,READY,,
NDAQ,252,0,0,0,0,0,0,0.09399854,100.0,READY,,
NDSN,252,0,0,0,0,0,0,0.0398442,100.0,READY,,
NEE,252,0,0,0,0,0,0,0.06944444,100.0,READY,,
NEM,252,0,0,0,0,0,0,0.11486648,100.0,READY,,
NFLX,252,0,0,0,0,0,0,0.13772316,100.0,READY,,
NI,252,0,0,0,0,0,0,0.04712913,100.0,READY,,
NKE,252,0,0,0,0,0,0,0.15505488,100.0,READY,,
NOC,252,0,0,0,0,0,0,0.09412176,100.0,READY,,
NOW,252,0,0,0,0,0,0,0.17745223,100.0,READY,,
NRG,252,0,0,0,0,0,0,0.13607821,100.0,READY,,
NSC,252,0,0,0,0,0,0,0.07746461,100.0,READY,,
NTAP,252,0,0,0,0,0,0,0.22394663,100.0,READY,,
NTRS,252,0,0,0,0,0,0,0.08019372,100.0,READY,,
NUE,252,0,1,0,0,0,0,0.05952381,95.0,REVIEW,1 rows violate OHLC relationships.,
NVDA,252,0,0,0,0,0,0,0.0787177,100.0,READY,,
NVR,252,0,0,0,0,0,0,0.07271719,100.0,READY,,
NWS,252,0,0,0,0,0,0,0.06606215,100.0,READY,,
